feature,importance_mean,importance_std,group
repl_withdrawn_kwd,1.3913732571986166,0.021425980441708778,replenishment_ops
repl_starting_cash_kwd,0.030742354801623416,0.0007902349893956984,replenishment_ops
roll28_amt_mean,0.024749493126340803,0.001849517067654587,time_history
repl_replenished_kwd,0.020003886517769732,0.0005432868000563624,replenishment_ops
repl_ending_cash_kwd,0.013509782379434765,0.0004153274809334462,replenishment_ops
is_salary_disbursement,0.008390693519569847,0.0011136055999332523,calendar
repl_deposited_kwd,0.007008088765863185,0.0017426050900968878,replenishment_ops
roll7_amt_mean,0.006542659144300111,0.0005630174206925344,time_history
days_since_last_repl,0.001319728013172461,0.00010679732900409895,replenishment_ops
roll7_cnt_mean,0.0012282748558887114,0.00011587093499447187,time_history
lag28_amt,0.0009497935466693752,0.00019888204665030772,time_history
atm_age_days,0.0009170610160045944,0.00018016032744778675,atm_metadata
lag1_cnt,0.0008729657605603625,8.426314583012315e-05,time_history
longitude,0.000733315028358017,8.355294895407534e-05,other
days_to_salary,0.0006371254430114437,0.00019556469737468815,calendar
lag7_amt,0.0006300806603423914,7.514042485870804e-05,time_history
roll28_cnt_mean,0.000620537741583771,0.00013508037407557207,time_history
lag14_amt,0.000574268776861786,7.904181646005148e-05,time_history
lag1_amt,0.0005735717006752905,0.00011077901397500951,time_history
latitude,0.00047486189727752315,7.100076289593072e-05,other
lag7_cnt,0.000331241546137806,8.88265727728364e-05,time_history
lag14_cnt,0.00031099677647570265,8.935442435644999e-05,time_history
lag28_cnt,0.00030465683810727563,9.895470585710213e-05,time_history
location_type_meta,0.00023575957146860783,9.45060386982768e-05,atm_metadata
days_from_salary,0.00021717014735856966,8.809253557845718e-05,calendar
atm_region_meta,0.00018612064829492958,3.5279221703662494e-05,atm_metadata
is_weekend,9.618127705509626e-05,2.6660483373990125e-05,calendar
location_type_lookup,1.3745954423660667e-05,2.0231816147726265e-05,atm_metadata
region_lookup,1.2657791599235413e-05,9.354670641334091e-06,atm_metadata
week_of_year,5.072223421620503e-06,6.7849642890303905e-06,calendar
is_new_atm,1.9352034520192517e-06,3.0117570629713706e-06,atm_metadata
is_ramadan,0.0,0.0,calendar
region_mismatch_flag,0.0,0.0,atm_metadata
month,0.0,0.0,calendar
quarter,0.0,0.0,calendar
repl_cashout_flag,0.0,0.0,replenishment_ops
is_public_holiday,0.0,0.0,calendar
year,0.0,0.0,calendar
