feature,importance_mean,importance_std,group
repl_withdrawn_kwd,0.8847180043559589,0.010449975438413098,replenishment_ops
roll28_cnt_mean,0.06822425449530842,0.0028931402709980875,time_history
location_type_meta,0.06366218194300573,0.0018100814801103502,atm_metadata
is_salary_disbursement,0.019645871573728036,0.0012804571234355806,calendar
repl_deposited_kwd,0.014527293225310666,0.0011327276564584007,replenishment_ops
roll7_cnt_mean,0.007160653635561643,0.0004107905782923613,time_history
repl_replenished_kwd,0.004357326751515423,0.0005320504393693552,replenishment_ops
location_type_lookup,0.003917886648397928,0.0003446749119962321,atm_metadata
repl_starting_cash_kwd,0.003372403948970115,0.0003071966738751257,replenishment_ops
roll28_amt_mean,0.0025838459655365574,0.00015078437290018802,time_history
roll7_amt_mean,0.0024150760184978638,0.00029514968544392783,time_history
atm_age_days,0.001550784673829919,0.00014223079408062956,atm_metadata
longitude,0.0014747475312041458,9.862996303940673e-05,other
repl_ending_cash_kwd,0.0012574494790086987,0.00021845942536219117,replenishment_ops
lag28_amt,0.0012192111947998074,6.050042720050964e-05,time_history
lag7_amt,0.0010722120157470871,0.0001564004503492225,time_history
latitude,0.0010140453600341215,0.00013760464524759412,other
days_to_salary,0.0009836625433541691,0.00017295920356832922,calendar
lag1_amt,0.0009562657907669636,0.00012936933102026995,time_history
lag7_cnt,0.0007765515297745495,0.00015820354066879152,time_history
lag14_amt,0.0007668491082367113,0.00019010600966916136,time_history
lag28_cnt,0.0007262584810732942,0.00013360046073623087,time_history
is_weekend,0.0006790244850057414,7.653411735219743e-05,calendar
lag14_cnt,0.0006526488660934082,9.949365102954194e-05,time_history
lag1_cnt,0.0006330086123395695,0.00014469042022786628,time_history
atm_region_meta,0.0003385350437668744,4.788075574463678e-05,atm_metadata
days_from_salary,0.0003360740916672045,0.00010252047263939995,calendar
region_lookup,6.939076724584713e-05,2.2347889911260725e-05,atm_metadata
days_since_last_repl,5.4736330679816536e-05,2.8618946374892307e-05,replenishment_ops
week_of_year,6.178243755450285e-06,6.3930547796722615e-06,calendar
repl_cashout_flag,0.0,0.0,replenishment_ops
is_public_holiday,0.0,0.0,calendar
is_ramadan,0.0,0.0,calendar
region_mismatch_flag,0.0,0.0,atm_metadata
year,0.0,0.0,calendar
quarter,0.0,0.0,calendar
month,0.0,0.0,calendar
is_new_atm,-1.9720352410046436e-06,2.1372042504147565e-06,atm_metadata
