dt,atm_id,region,total_withdrawn_amount_kwd,total_withdraw_txn_count,total_deposited_amount_kwd,total_deposit_txn_count,reported_dt,dup_flag
2020-01-04,ATM_0249,Ahmadi,923.04,34,21.08,3,2020-01-04,false
2020-01-05,ATM_0249,Ahmadi,1090.19,41,16.01,3,2020-01-05,false
2020-01-07,ATM_0249,Ahmadi,1335.03,54,23.43,4,2020-01-07,false
2020-01-08,ATM_0023,Kuwait City,1120.39,45,33.71,6,2020-01-08,false
2020-01-08,ATM_0249,Ahmadi,1112.73,48,20.93,4,2020-01-08,false
2020-01-09,ATM_0023,Kuwait City,1083.79,38,9.29,1,2020-01-09,false
2020-01-09,ATM_0249,Ahmadi,1239.61,47,15.99,3,2020-01-09,false
2020-01-10,ATM_0023,Kuwait City,1013.55,38,10.86,2,2020-01-10,false
2020-01-10,ATM_0249,Ahmadi,795.6,33,24.7,2,2020-01-10,false
2020-01-11,ATM_0249,Ahmadi,928.46,37,5.0,1,2020-01-11,false
2020-01-12,ATM_0023,Kuwait City,977.84,36,19.08,3,2020-01-12,false
2020-01-12,ATM_0249,Ahmadi,938.53,41,23.52,2,2020-01-12,false
2020-01-13,ATM_0023,Kuwait City,1045.05,45,10.0,2,2020-01-13,false
2020-01-13,ATM_0249,Ahmadi,1067.62,43,22.09,3,2020-01-13,false
2020-01-14,ATM_0023,Kuwait City,653.79,30,5.15,1,2020-01-14,false
2020-01-14,ATM_0249,Ahmadi,887.14,38,16.6,2,2020-01-14,false
2020-01-15,ATM_0023,Kuwait City,750.89,33,0.0,0,2020-01-15,false
2020-01-15,ATM_0249,Ahmadi,1066.4,40,18.38,3,2020-01-15,false
2020-01-16,ATM_0023,Kuwait City,1377.68,49,17.58,3,2020-01-16,false
2020-01-16,ATM_0104,Farwaniya,1172.34,43,18.95,3,2020-01-16,false
2020-01-16,ATM_0249,Ahmadi,1280.22,49,21.82,3,2020-01-16,false
2020-01-17,ATM_0023,Kuwait City,1162.93,45,20.0,4,2020-01-17,false
2020-01-17,ATM_0104,Farwaniya,1118.94,42,18.7,3,2020-01-17,false
2020-01-17,ATM_0230,Ahmadi,1534.8,53,44.54,6,2020-01-17,false
2020-01-17,ATM_0249,Ahmadi,1143.34,44,22.71,4,2020-01-17,false
2020-01-18,ATM_0023,Kuwait City,938.64,41,10.0,2,2020-01-18,false
2020-01-18,ATM_0104,Farwaniya,1228.95,36,26.53,2,2020-01-18,false
2020-01-18,ATM_0230,Ahmadi,1459.66,52,31.05,5,2020-01-18,false
2020-01-18,ATM_0249,Ahmadi,1156.76,42,10.0,2,2020-01-18,false
2020-01-19,ATM_0104,Farwaniya,1327.52,46,23.29,3,2020-01-19,false
2020-01-19,ATM_0230,Ahmadi,1528.7,49,20.0,4,2020-01-19,false
2020-01-19,ATM_0249,Ahmadi,999.15,33,13.21,2,2020-01-21,false
2020-01-20,ATM_0023,Kuwait City,1487.86,58,20.0,4,2020-01-20,false
2020-01-20,ATM_0104,Farwaniya,1632.58,59,16.66,3,2020-01-20,false
2020-01-20,ATM_0171,Kuwait City,883.21,32,17.85,3,2020-01-20,false
2020-01-20,ATM_0230,Ahmadi,1671.12,64,44.23,6,2020-01-20,false
2020-01-20,ATM_0249,Ahmadi,757.02,29,13.77,2,2020-01-20,false
2020-01-21,ATM_0023,Kuwait City,1586.52,55,26.57,5,2020-01-21,false
2020-01-21,ATM_0104,Farwaniya,1493.47,60,17.0,3,2020-01-22,false
2020-01-21,ATM_0171,Kuwait City,1083.46,43,20.61,3,2020-01-21,false
2020-01-21,ATM_0230,Ahmadi,1602.38,56,27.93,4,2020-01-21,false
2020-01-21,ATM_0249,Ahmadi,1236.77,50,26.28,4,2020-01-21,false
2020-01-22,ATM_0023,Kuwait City,1858.6,70,22.53,4,2020-01-22,false
2020-01-22,ATM_0104,Farwaniya,1275.21,43,25.78,5,2020-01-22,false
2020-01-22,ATM_0171,Kuwait City,898.23,32,19.65,3,2020-01-22,false
2020-01-22,ATM_0230,Ahmadi,1939.38,69,39.72,6,2020-01-22,false
2020-01-22,ATM_0249,Ahmadi,1338.78,55,23.6,4,2020-01-22,false
2020-01-23,ATM_0023,Kuwait City,1227.74,52,29.55,5,2020-01-24,false
2020-01-23,ATM_0104,Farwaniya,1312.02,45,24.85,4,2020-01-23,false
2020-01-23,ATM_0171,Kuwait City,1281.14,50,29.78,5,2020-01-23,false
2020-01-23,ATM_0230,Ahmadi,1480.07,55,43.97,5,2020-01-23,false
2020-01-23,ATM_0249,Ahmadi,1199.29,45,25.0,5,2020-01-23,false
2020-01-24,ATM_0023,Kuwait City,1198.51,47,30.83,5,2020-01-24,false
2020-01-24,ATM_0104,Farwaniya,1363.41,45,38.23,5,2020-01-24,false
