dt,atm_id,region,starting_cash_kwd,withdrawn_kwd,deposited_kwd,replenished_kwd,ending_cash_kwd,cashout_flag,notes
2020-01-04,ATM_0249,Ahmadi,60229.66,923.04,21.08,0.0,59377.48,0,
2020-01-05,ATM_0249,Ahmadi,59377.48,1090.19,16.01,0.0,58529.08,0,
2020-01-06,ATM_0249,Ahmadi,58529.08,3536.46,614.0,0.0,55828.53,0,data_gap (estimated)
2020-01-07,ATM_0249,Ahmadi,55828.53,1335.03,23.43,0.0,53898.76,0,
2020-01-08,ATM_0023,Kuwait City,68828.9,1120.39,33.71,0.0,67093.32,0,
2020-01-08,ATM_0249,Ahmadi,53898.76,1112.73,20.93,0.0,53465.21,0,
2020-01-09,ATM_0023,Kuwait City,67093.32,1083.79,9.29,0.0,66870.88,0,
2020-01-09,ATM_0249,Ahmadi,53465.21,1239.61,15.99,0.0,51499.95,0,
2020-01-10,ATM_0023,Kuwait City,66870.88,1013.55,10.86,0.0,65870.13,0,
2020-01-10,ATM_0249,Ahmadi,51499.95,795.6,24.7,0.0,51061.01,0,
2020-01-11,ATM_0023,Kuwait City,65870.13,1294.05,219.55,0.0,64863.97,0,data_gap (estimated)
2020-01-11,ATM_0249,Ahmadi,51061.01,928.46,5.0,0.0,50739.07,0,
2020-01-12,ATM_0023,Kuwait City,64863.97,977.84,19.08,0.0,64580.82,0,
2020-01-12,ATM_0249,Ahmadi,50739.07,938.53,23.52,0.0,50467.31,0,
2020-01-13,ATM_0023,Kuwait City,64580.82,1045.05,10.0,0.0,62819.36,0,
2020-01-13,ATM_0249,Ahmadi,50467.31,1067.62,22.09,0.0,49756.01,0,
2020-01-14,ATM_0023,Kuwait City,62819.36,653.79,5.15,0.0,62951.12,0,
2020-01-14,ATM_0249,Ahmadi,49756.01,887.14,16.6,0.0,49375.76,0,
2020-01-15,ATM_0023,Kuwait City,62951.12,750.89,0.0,0.0,62937.22,0,
2020-01-15,ATM_0104,Farwaniya,78816.8,3799.33,681.8,0.0,76463.11,0,data_gap (estimated)
2020-01-15,ATM_0249,Ahmadi,49375.76,1066.4,18.38,0.0,48428.49,0,
2020-01-16,ATM_0023,Kuwait City,62937.22,1377.68,17.58,0.0,61346.93,0,
2020-01-16,ATM_0104,Farwaniya,76463.11,1172.34,18.95,0.0,75492.6,0,
2020-01-16,ATM_0249,Ahmadi,48428.49,1280.22,21.82,0.0,47627.29,0,
2020-01-17,ATM_0023,Kuwait City,61346.93,1162.93,20.0,0.0,59607.7,0,
2020-01-17,ATM_0104,Farwaniya,75492.6,1118.94,18.7,0.0,74718.45,0,
2020-01-17,ATM_0230,Ahmadi,49334.02,1534.8,44.54,0.0,47349.36,0,
2020-01-17,ATM_0249,Ahmadi,47627.29,1143.34,22.71,0.0,46587.83,0,
2020-01-18,ATM_0023,Kuwait City,59607.7,938.64,10.0,0.0,59202.46,0,
2020-01-18,ATM_0104,Farwaniya,74718.45,1228.95,26.53,0.0,73430.12,0,
2020-01-18,ATM_0230,Ahmadi,47349.36,1459.66,31.05,0.0,45436.67,0,
2020-01-18,ATM_0249,Ahmadi,46587.83,1156.76,10.0,0.0,46102.18,0,
2020-01-19,ATM_0023,Kuwait City,59202.46,1167.1,203.84,0.0,57442.63,0,data_gap (estimated)
2020-01-19,ATM_0104,Farwaniya,73430.12,1327.52,23.29,0.0,71556.42,0,
2020-01-19,ATM_0230,Ahmadi,45436.67,1528.7,20.0,0.0,43305.14,0,
2020-01-19,ATM_0249,Ahmadi,46102.18,999.15,13.21,0.0,45020.2,0,
2020-01-20,ATM_0023,Kuwait City,57442.63,1487.86,20.0,0.0,56397.74,0,
2020-01-20,ATM_0104,Farwaniya,71556.42,1632.58,16.66,0.0,68987.09,0,
2020-01-20,ATM_0171,Kuwait City,73765.17,883.21,17.85,0.0,71968.61,0,
2020-01-20,ATM_0230,Ahmadi,43305.14,1671.12,44.23,0.0,41362.43,0,
2020-01-20,ATM_0249,Ahmadi,45020.2,757.02,13.77,0.0,44466.82,0,
2020-01-21,ATM_0023,Kuwait City,56397.74,1586.52,26.57,0.0,55209.74,0,
2020-01-21,ATM_0104,Farwaniya,68987.09,1493.47,17.0,0.0,67131.44,0,
2020-01-21,ATM_0171,Kuwait City,71968.61,1083.46,20.61,0.0,71254.52,0,
2020-01-21,ATM_0230,Ahmadi,41362.43,1602.38,27.93,0.0,39938.67,0,
2020-01-21,ATM_0249,Ahmadi,44466.82,1236.77,26.28,0.0,42914.6,0,
2020-01-22,ATM_0023,Kuwait City,55209.74,1858.6,22.53,0.0,52789.03,0,
2020-01-22,ATM_0104,Farwaniya,67131.44,1275.21,25.78,0.0,65671.41,0,
2020-01-22,ATM_0171,Kuwait City,71254.52,898.23,19.65,0.0,70556.24,0,
2020-01-22,ATM_0230,Ahmadi,39938.67,1939.38,39.72,0.0,37987.18,0,
2020-01-22,ATM_0249,Ahmadi,42914.6,1338.78,23.6,0.0,41324.45,0,
2020-01-23,ATM_0023,Kuwait City,52789.03,1227.74,29.55,0.0,50819.13,0,
2020-01-23,ATM_0104,Farwaniya,65671.41,1312.02,24.85,0.0,65099.93,0,
2020-01-23,ATM_0171,Kuwait City,70556.24,1281.14,29.78,0.0,69793.51,0,
2020-01-23,ATM_0230,Ahmadi,37987.18,1480.07,43.97,0.0,36075.44,0,
2020-01-23,ATM_0249,Ahmadi,41324.45,1199.29,25.0,0.0,40677.0,0,
2020-01-24,ATM_0023,Kuwait City,50819.13,1198.51,30.83,0.0,49078.25,0,
2020-01-24,ATM_0104,Farwaniya,65099.93,1363.41,38.23,0.0,63696.0,0,
2020-01-24,ATM_0171,Kuwait City,69793.51,1035.16,29.43,0.0,68252.91,0,
2020-01-24,ATM_0230,Ahmadi,36075.44,1457.93,28.44,0.0,34208.4,0,
2020-01-24,ATM_0249,Ahmadi,40677.0,1194.54,21.67,0.0,39118.03,0,
2020-01-25,ATM_0023,Kuwait City,49078.25,1538.48,20.51,0.0,47857.37,0,
2020-01-25,ATM_0104,Farwaniya,63696.0,1277.86,19.58,0.0,61988.22,0,
2020-01-25,ATM_0171,Kuwait City,68252.91,1195.03,16.8,0.0,66295.16,0,
2020-01-25,ATM_0230,Ahmadi,34208.4,1533.11,20.81,0.0,32789.47,0,
2020-01-25,ATM_0249,Ahmadi,39118.03,1455.15,15.24,0.0,38219.47,0,
2020-01-26,ATM_0023,Kuwait City,47857.37,1519.32,136.99,0.0,46382.68,0,data_gap (estimated)
2020-01-26,ATM_0104,Farwaniya,61988.22,1214.49,20.46,0.0,61099.25,0,
2020-01-26,ATM_0165,Kuwait City,47164.17,1205.53,16.96,0.0,45491.51,0,
